probe voltage (V), probe current (A), resistance (9.9e37 if not enabled) , timestamp , status word ,
3.421936	444.815739	61.302000
3.420335	444.954999	61.402000
3.411741	445.582882	61.502000
3.417538	445.184719	61.602000
3.423772	444.675462	61.702000
3.414657	445.338221	61.802000
3.411359	445.592594	61.902000
3.422408	444.770269	62.002000
3.421986	444.798990	62.102000
3.411274	445.583090	62.202000
3.414857	445.356964	62.302000
3.424211	444.669863	62.402000
3.417352	445.136149	62.502000
3.410864	445.585331	62.602000
3.420322	444.901725	62.702000
3.422565	444.760297	62.802000
3.412837	445.504359	62.902000
3.415257	445.320532	63.002000
3.424083	444.623378	63.102000
3.416832	445.161096	63.202000
3.410980	445.607028	63.302000
3.420839	444.880535	63.402000
3.424191	444.631889	63.502000
3.412637	445.443791	63.602000
3.413370	445.452035	63.702000
3.423691	444.650138	63.802000
3.419249	444.937042	63.902000
3.410692	445.555305	64.002000
3.418554	445.005785	64.102000
3.423531	444.652974	64.202000
3.414208	445.335632	64.302000
3.412916	445.448670	64.402000
3.422913	444.647489	64.502000
3.419270	444.914344	64.602000
3.410534	445.573366	64.702000
3.418213	445.021869	64.802000
3.424890	444.499349	64.902000
3.414705	445.247021	65.005000
3.410880	445.549103	65.102000
3.421730	444.763915	65.202000
3.421603	444.710484	65.302000
3.411482	445.459013	65.402000
3.415580	445.144888	65.502000
3.423559	444.589237	65.602000
3.416031	445.155720	65.702000
3.411285	445.502525	65.802000
3.420949	444.767335	65.902000
3.421752	444.717054	66.002000
3.411193	445.488181	66.102000
3.414981	445.210507	66.202000
3.424188	444.504164	66.302000
3.416597	445.027129	66.402000
3.409226	445.598940	66.502000
3.419120	444.858716	66.602000
3.422903	444.541764	66.702000
3.412347	445.318858	66.802000
3.412895	445.287698	66.902000
3.421990	444.624371	67.002000
3.416545	445.047854	67.102000
3.409539	445.561835	67.202000
3.418563	444.852367	67.302000
3.422002	444.553375	67.402000
3.410986	445.418909	67.503000
3.411486	445.415541	67.602000
3.422479	444.569988	67.702000
3.418066	444.911960	67.802000
3.408668	445.582182	67.902000
3.416505	444.998512	68.002000
3.422835	444.509570	68.102000
3.413296	445.198418	68.202000
3.410303	445.437564	68.302000
3.420329	444.709212	68.402000
3.418246	444.876963	68.502000
3.409512	445.504741	68.602000
3.415740	445.015525	68.702000
3.422529	444.484873	68.802000
3.412688	445.201538	68.902000
3.408848	445.546655	69.002000
